"Step","brisk-dragon-19 - loss","brisk-dragon-19 - loss__MIN","brisk-dragon-19 - loss__MAX","brisk-dragon-19 - accuracy","true-firebrand-17 - loss","true-firebrand-17 - loss__MIN","true-firebrand-17 - loss__MAX","true-firebrand-17 - accuracy","true-firebrand-17 - accuracy__MIN","true-firebrand-17 - accuracy__MAX","cool-plasma-16 - loss","cool-plasma-16 - loss__MIN","cool-plasma-16 - loss__MAX","cool-plasma-16 - accuracy","cool-plasma-16 - accuracy__MIN","cool-plasma-16 - accuracy__MAX","deep-resonance-10 - loss","deep-resonance-10 - loss__MIN","deep-resonance-10 - loss__MAX","deep-resonance-10 - accuracy","deep-resonance-10 - accuracy__MIN","deep-resonance-10 - accuracy__MAX"
"45000","","","","","2.4995718002319336","2.4995718002319336","2.4995718002319336","","","","2.4922585487365723","2.4922585487365723","2.4922585487365723","","","","2.748046875","2.748046875","2.748046875","","",""
"45001","","","","","","","","3.6621451329703283","3.6621451329703283","3.6621451329703283","","","","0.0035978108932914034","0.0035978108932914034","0.0035978108932914034","","","","","",""
"46000","","","","","2.4759421348571777","2.4759421348571777","2.4759421348571777","","","","2.4693331718444824","2.4693331718444824","2.4693331718444824","","","","2.727614402770996","2.727614402770996","2.727614402770996","","",""
"47000","","","","","2.4380714893341064","2.4380714893341064","2.4380714893341064","","","","2.4339334964752197","2.4339334964752197","2.4339334964752197","","","","2.6968464851379395","2.6968464851379395","2.6968464851379395","","",""
"48000","","","","","2.4097423553466797","2.4097423553466797","2.4097423553466797","","","","2.410719871520996","2.410719871520996","2.410719871520996","","","","2.674614191055298","2.674614191055298","2.674614191055298","","",""
"49000","","","","","2.3889944553375244","2.3889944553375244","2.3889944553375244","","","","2.3916397094726562","2.3916397094726562","2.3916397094726562","","","","2.6575398445129395","2.6575398445129395","2.6575398445129395","","",""
"50000","","","","","2.3675456047058105","2.3675456047058105","2.3675456047058105","","","","2.3717663288116455","2.3717663288116455","2.3717663288116455","","","","","","","","",""
"50001","","","","","","","","3.7592483674636994","3.7592483674636994","3.7592483674636994","","","","0.003670826745603058","0.003670826745603058","0.003670826745603058","","","","","",""
"51000","","","","","2.3361246585845947","2.3361246585845947","2.3361246585845947","","","","2.346602439880371","2.346602439880371","2.346602439880371","","","","","","","","",""
"52000","","","","","2.3071980476379395","2.3071980476379395","2.3071980476379395","","","","2.321071147918701","2.321071147918701","2.321071147918701","","","","","","","","",""
"53000","","","","","2.2903635501861572","2.2903635501861572","2.2903635501861572","","","","2.305203437805176","2.305203437805176","2.305203437805176","","","","","","","","",""
"54000","","","","","2.270480155944824","2.270480155944824","2.270480155944824","","","","2.2898316383361816","2.2898316383361816","2.2898316383361816","","","","","","","","",""
"55000","","","","","2.245784044265747","2.245784044265747","2.245784044265747","","","","2.266493797302246","2.266493797302246","2.266493797302246","","","","","","","","",""
"55001","","","","","","","","3.891336768564552","3.891336768564552","3.891336768564552","","","","0.0037710513424407156","0.0037710513424407156","0.0037710513424407156","","","","","",""
"56000","","","","","2.217775583267212","2.217775583267212","2.217775583267212","","","","2.2427923679351807","2.2427923679351807","2.2427923679351807","","","","","","","","",""
"57000","","","","","2.2034177780151367","2.2034177780151367","2.2034177780151367","","","","2.2280964851379395","2.2280964851379395","2.2280964851379395","","","","","","","","",""
"58000","","","","","2.186382293701172","2.186382293701172","2.186382293701172","","","","2.2150983810424805","2.2150983810424805","2.2150983810424805","","","","","","","","",""
"59000","","","","","2.1691629886627197","2.1691629886627197","2.1691629886627197","","","","2.199063777923584","2.199063777923584","2.199063777923584","","","","","","","","",""
"60000","","","","","2.139044761657715","2.139044761657715","2.139044761657715","","","","2.1730823516845703","2.1730823516845703","2.1730823516845703","","","","","","","","",""
"60001","","","","","","","","3.9847945396346276","3.9847945396346276","3.9847945396346276","","","","0.003819080513267208","0.003819080513267208","0.003819080513267208","","","","","",""
"61000","","","","","2.126380205154419","2.126380205154419","2.126380205154419","","","","2.1633195877075195","2.1633195877075195","2.1633195877075195","","","","","","","","",""
"62000","","","","","2.112602949142456","2.112602949142456","2.112602949142456","","","","2.149761199951172","2.149761199951172","2.149761199951172","","","","","","","","",""
"63000","","","","","2.0977060794830322","2.0977060794830322","2.0977060794830322","","","","2.137932062149048","2.137932062149048","2.137932062149048","","","","","","","","",""
"64000","","","","","2.073552370071411","2.073552370071411","2.073552370071411","","","","2.1156437397003174","2.1156437397003174","2.1156437397003174","","","","","","","","",""
"65000","","","","","2.0613303184509277","2.0613303184509277","2.0613303184509277","","","","","","","","","","","","","","",""
"65001","","","","","","","","4.071365510574495","4.071365510574495","4.071365510574495","","","","","","","","","","","",""
"66000","","","","","2.048677444458008","2.048677444458008","2.048677444458008","","","","","","","","","","","","","","",""
"67000","","","","","2.0366289615631104","2.0366289615631104","2.0366289615631104","","","","","","","","","","","","","","",""
"68000","","","","","2.0181355476379395","2.0181355476379395","2.0181355476379395","","","","","","","","","","","","","","",""
"69000","","","","","2.005516767501831","2.005516767501831","2.005516767501831","","","","","","","","","","","","","","",""
"70000","","","","","1.9960261583328247","1.9960261583328247","1.9960261583328247","","","","","","","","","","","","","","",""
"70001","","","","","","","","4.123754327947443","4.123754327947443","4.123754327947443","","","","","","","","","","","",""
"71000","","","","","1.9859031438827515","1.9859031438827515","1.9859031438827515","","","","","","","","","","","","","","",""
"72000","","","","","1.972697138786316","1.972697138786316","1.972697138786316","","","","","","","","","","","","","","",""
"73000","","","","","1.958775520324707","1.958775520324707","1.958775520324707","","","","","","","","","","","","","","",""
"74000","","","","","1.9520492553710938","1.9520492553710938","1.9520492553710938","","","","","","","","","","","","","","",""
