Step,expert-glitter-124 - accuracy,expert-glitter-124 - accuracy__MIN,expert-glitter-124 - accuracy__MAX,lively-dream-103 - accuracy,lively-dream-103 - accuracy__MIN,lively-dream-103 - accuracy__MAX,chocolate-armadillo-72 - accuracy,chocolate-armadillo-72 - accuracy__MIN,chocolate-armadillo-72 - accuracy__MAX,peach-dew-71 - accuracy,peach-dew-71 - accuracy__MIN,peach-dew-71 - accuracy__MAX
58001,,,,,,,0.6288,0.6288,0.6288,,,
58501,0.8357,0.8357,0.8357,,,,,,,,,
59001,,,,,,,0.6302,0.6302,0.6302,,,
60001,,,,,,,0.6273,0.6273,0.6273,,,
62401,0.8402,0.8402,0.8402,,,,,,,,,
66301,0.8372,0.8372,0.8372,,,,,,,,,
70201,0.8382,0.8382,0.8382,,,,,,,,,
74101,0.8398,0.8398,0.8398,,,,,,,,,
78001,0.8446,0.8446,0.8446,,,,,,,,,
81901,0.8465,0.8465,0.8465,,,,,,,,,
85801,0.8475,0.8475,0.8475,,,,,,,,,
89701,0.8479,0.8479,0.8479,,,,,,,,,
93601,0.851,0.851,0.851,,,,,,,,,
97501,0.8499,0.8499,0.8499,,,,,,,,,
